matricula,data,codigo_situacao
17410,14/12/2025,15
16779,14/12/2025,15
16159,14/12/2025,15
16153,14/12/2025,15
16136,14/12/2025,15
14928,14/12/2025,15
14604,14/12/2025,15
12917,14/12/2025,15
11312,14/12/2025,15
37636,13/12/2025,15
37635,13/12/2025,15
37632,13/12/2025,15
37624,13/12/2025,15
37565,13/12/2025,15
37145,13/12/2025,15
37012,13/12/2025,15
36993,13/12/2025,15
36985,13/12/2025,15
36938,13/12/2025,15
36936,13/12/2025,15
36934,13/12/2025,15
36930,13/12/2025,15
36928,13/12/2025,15
36756,13/12/2025,15
36742,13/12/2025,15
36549,13/12/2025,15
36476,13/12/2025,15
36475,13/12/2025,15
36331,13/12/2025,15
36303,13/12/2025,15
36284,13/12/2025,15
36263,13/12/2025,15
36218,13/12/2025,15
35548,13/12/2025,15
35547,13/12/2025,15
35474,13/12/2025,15
35453,13/12/2025,15
35260,13/12/2025,15
35255,13/12/2025,15
35228,13/12/2025,15
35082,13/12/2025,15
35078,13/12/2025,15
35048,13/12/2025,15
35043,13/12/2025,15
34981,13/12/2025,15
34979,13/12/2025,15
34977,13/12/2025,15
34468,13/12/2025,15
34465,13/12/2025,15
34409,13/12/2025,15
34399,13/12/2025,15
34398,13/12/2025,15
34296,13/12/2025,15
34189,13/12/2025,15
34172,13/12/2025,15
34165,13/12/2025,15
34108,13/12/2025,15
34057,13/12/2025,15
34027,13/12/2025,15
33949,13/12/2025,15
33908,13/12/2025,15
33800,13/12/2025,15
33749,13/12/2025,15
33570,13/12/2025,15
33477,13/12/2025,15
33443,13/12/2025,15
33361,13/12/2025,15
33354,13/12/2025,15
33347,13/12/2025,15
33322,13/12/2025,15
33311,13/12/2025,15
33307,13/12/2025,15
33213,13/12/2025,15
33190,13/12/2025,15
33183,13/12/2025,15
33115,13/12/2025,15
33108,13/12/2025,15
33058,13/12/2025,15
32945,13/12/2025,15
32875,13/12/2025,15
32861,13/12/2025,15
32858,13/12/2025,15
32790,13/12/2025,15
32716,13/12/2025,15
32681,13/12/2025,15
32677,13/12/2025,15
32614,13/12/2025,15
32613,13/12/2025,15
32273,13/12/2025,15
32139,13/12/2025,15
31960,13/12/2025,15
31911,13/12/2025,15
31891,13/12/2025,15
31489,13/12/2025,15
31334,13/12/2025,15
31325,13/12/2025,15
31305,13/12/2025,15
30922,13/12/2025,15
30893,13/12/2025,15
30805,13/12/2025,15
30766,13/12/2025,15
30352,13/12/2025,15
29996,13/12/2025,15
29857,13/12/2025,15
28758,13/12/2025,15
28748,13/12/2025,15
28746,13/12/2025,15
28663,13/12/2025,15
28341,13/12/2025,15
28300,13/12/2025,15
28245,13/12/2025,15
28240,13/12/2025,15
28226,13/12/2025,15
28213,13/12/2025,15
27504,13/12/2025,15
27501,13/12/2025,15
27459,13/12/2025,15
27445,13/12/2025,15
27057,13/12/2025,15
26194,13/12/2025,15
26077,13/12/2025,15
25936,13/12/2025,15
25766,13/12/2025,15
25755,13/12/2025,15
25754,13/12/2025,15
25656,13/12/2025,15
25591,13/12/2025,15
25576,13/12/2025,15
23592,13/12/2025,15
22726,13/12/2025,15
22552,13/12/2025,15
22539,13/12/2025,15
22376,13/12/2025,15
21734,13/12/2025,15
20506,13/12/2025,15
19780,13/12/2025,15
18967,13/12/2025,15
18433,13/12/2025,15
16774,13/12/2025,15
16136,13/12/2025,15
14160,13/12/2025,15
13645,13/12/2025,15
11312,13/12/2025,15
37635,12/12/2025,15
37632,12/12/2025,15
37624,12/12/2025,15
37565,12/12/2025,15
36939,12/12/2025,15
36938,12/12/2025,15
36936,12/12/2025,15
36934,12/12/2025,15
36930,12/12/2025,15
36928,12/12/2025,15
36742,12/12/2025,15
36523,12/12/2025,15
36476,12/12/2025,15
36445,12/12/2025,15
36414,12/12/2025,15
36303,12/12/2025,15
36284,12/12/2025,15
36218,12/12/2025,15
36045,12/12/2025,15
35537,12/12/2025,15
35474,12/12/2025,15
35453,12/12/2025,15
35260,12/12/2025,15
35255,12/12/2025,15
35230,12/12/2025,15
35091,12/12/2025,15
35079,12/12/2025,15
35078,12/12/2025,15
35075,12/12/2025,15
35074,12/12/2025,15
35067,12/12/2025,15
35052,12/12/2025,15
35048,12/12/2025,15
35043,12/12/2025,15
34653,12/12/2025,15
34465,12/12/2025,15
34410,12/12/2025,15
34404,12/12/2025,15
34398,12/12/2025,15
34296,12/12/2025,15
34172,12/12/2025,15
34165,12/12/2025,15
34108,12/12/2025,15
34052,12/12/2025,15
33910,12/12/2025,15
33800,12/12/2025,15
33749,12/12/2025,15
33473,12/12/2025,15
33463,12/12/2025,15
33443,12/12/2025,15
33361,12/12/2025,15
33359,12/12/2025,15
33347,12/12/2025,15
33328,12/12/2025,15
33322,12/12/2025,15
33307,12/12/2025,15
33213,12/12/2025,15
33183,12/12/2025,15
32945,12/12/2025,15
32878,12/12/2025,15
32875,12/12/2025,15
32861,12/12/2025,15
32828,12/12/2025,15
32816,12/12/2025,15
32790,12/12/2025,15
32785,12/12/2025,15
32677,12/12/2025,15
32581,12/12/2025,15
32333,12/12/2025,15
32273,12/12/2025,15
32139,12/12/2025,15
32103,12/12/2025,15
31960,12/12/2025,15
31911,12/12/2025,15
31891,12/12/2025,15
31884,12/12/2025,15
31325,12/12/2025,15
31308,12/12/2025,15
31305,12/12/2025,15
30925,12/12/2025,15
30922,12/12/2025,15
30805,12/12/2025,15
30349,12/12/2025,15
30174,12/12/2025,15
29992,12/12/2025,15
29857,12/12/2025,15
29779,12/12/2025,15
29776,12/12/2025,15
29516,12/12/2025,15
28772,12/12/2025,15
28748,12/12/2025,15
28746,12/12/2025,15
28647,12/12/2025,15
28341,12/12/2025,15
28240,12/12/2025,15
28226,12/12/2025,15
28221,12/12/2025,15
27504,12/12/2025,15
27445,12/12/2025,15
27057,12/12/2025,15
27054,12/12/2025,15
27052,12/12/2025,15
25915,12/12/2025,15
25811,12/12/2025,15
25767,12/12/2025,15
25766,12/12/2025,15
25755,12/12/2025,15
25754,12/12/2025,15
25673,12/12/2025,15
25668,12/12/2025,15
25656,12/12/2025,15
25643,12/12/2025,15
25576,12/12/2025,15
22726,12/12/2025,15
19780,12/12/2025,15
18967,12/12/2025,15
18552,12/12/2025,15
15167,12/12/2025,15
14939,12/12/2025,15
14928,12/12/2025,15
12498,12/12/2025,15
37636,11/12/2025,15
37635,11/12/2025,15
37632,11/12/2025,15
